Representative,Time,Age,Congress Number,Original Legislative Efficiency,Modified Legislative Efficiency
Ed Markey,2005-01-03,58.48323066,109,2,2
Ed Markey,2007-01-03,60.48186174,110,2,2
Ed Markey,2009-01-03,62.48323066,111,2,2
Ed Markey,2011-01-03,64.48186174,112,2,2
Ed Markey,2013-01-03,66.48323066,113,2,2
Nick Rahall,1977-01-03,27.62491444,95,1,1
Nick Rahall,1979-01-03,29.62354552,96,2,2
Nick Rahall,1981-01-03,31.62491444,97,2,2
Nick Rahall,1983-01-03,33.62354552,98,1,1
Nick Rahall,1985-01-03,35.62491444,99,1,1
Nick Rahall,1987-01-03,37.62354552,100,3,3
Nick Rahall,1989-01-03,39.62491444,101,3,3
Nick Rahall,1991-01-03,41.62354552,102,2,2
Nick Rahall,1993-01-03,43.62491444,103,3,3
Nick Rahall,1995-01-03,45.62354552,104,2,2
Nick Rahall,1997-01-03,47.62491444,105,1,1
Nick Rahall,1999-01-03,49.62354552,106,2,2
Nick Rahall,2001-01-03,51.62491444,107,3,3
Nick Rahall,2003-01-03,53.62354552,108,2,2
Nick Rahall,2005-01-03,55.62491444,109,2,2
Nick Rahall,2007-01-03,57.62354552,110,2,2
Nick Rahall,2009-01-03,59.62491444,111,2,2
Nick Rahall,2011-01-03,61.62354552,112,1,1
Nick Rahall,2013-01-03,63.62491444,113,1,1
Jim Sensenbrenner,1979-01-03,35.55646817,96,1,1
Jim Sensenbrenner,1981-01-03,37.5578371,97,2,2
Jim Sensenbrenner,1983-01-03,39.55646817,98,2,2
Jim Sensenbrenner,1985-01-03,41.5578371,99,1,1
Jim Sensenbrenner,1987-01-03,43.55646817,100,2,2
Jim Sensenbrenner,1989-01-03,45.5578371,101,1,1
Jim Sensenbrenner,1991-01-03,47.55646817,102,1,1
Jim Sensenbrenner,1993-01-03,49.5578371,103,1,1
Jim Sensenbrenner,1995-01-03,51.55646817,104,1,1
Jim Sensenbrenner,1997-01-03,53.5578371,105,2,2
Jim Sensenbrenner,1999-01-03,55.55646817,106,1,1
Jim Sensenbrenner,2001-01-03,57.5578371,107,3,3
Jim Sensenbrenner,2003-01-03,59.55646817,108,3,3
Jim Sensenbrenner,2005-01-03,61.5578371,109,3,3
Jim Sensenbrenner,2007-01-03,63.55646817,110,1,1
Jim Sensenbrenner,2009-01-03,65.5578371,111,1,1
Jim Sensenbrenner,2011-01-03,67.55646817,112,3,3
Jim Sensenbrenner,2013-01-03,69.5578371,113,2,2
Jim Sensenbrenner,2015-01-03,71.55646817,114,3,3
Jim Sensenbrenner,2017-01-03,73.5578371,115,3,3
Jim Sensenbrenner,2019-01-03,75.55646817,116,1,1
